[dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:48 [Violation] 'click' handler took 192ms
[Violation] Forced reflow while executing JavaScript took 61ms
index-CA7ya5cL.js:296 [Violation] 'setInterval' handler took 57ms
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:25 [Violation] 'message' handler took 285ms
iframe_form_detection.js:23 [Violation] 'message' handler took 163ms
[Violation] Forced reflow while executing JavaScript took 51ms
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] peer-69f39782efda3fd17287c502__camera | noVideo: false | cameraOn: undefined | videoMuted: false | hasVideo: true | videoPaused: false | muted: false | domMuted: false | vol: 1
index-CA7ya5cL.js:298 [dbg:novideo] self-camera | noVideo: false | cameraOn: true | videoMuted: undefined | hasVideo: true | videoPaused: false | muted: true | domMuted: true | vol: 1
